Tools,Port 12: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,Port 10: NDI-MF2 610060   CAE0-L00044  s/n:3A3BC400 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers
2,Port 12: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,2307358,1,OK,0.0008547,-0.7341423,0.6789286,-0.0095027,-43.591,-67.088,-140.103,0.0364854,0,Port 10: NDI-MF2 610060   CAE0-L00044  s/n:3A3BC400 Channel:0,2307358,1,Bad Fit,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
2,Port 12: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,2307366,1,OK,0.0008480,-0.7341372,0.6789340,-0.0095118,-43.591,-67.091,-140.103,0.0366149,0,Port 10: NDI-MF2 610060   CAE0-L00044  s/n:3A3BC400 Channel:0,2307366,1,Bad Fit,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
2,Port 12: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,2307374,1,OK,0.0008440,-0.7341327,0.6789389,-0.0095101,-43.594,-67.091,-140.102,0.0367524,0,Port 10: NDI-MF2 610060   CAE0-L00044  s/n:3A3BC400 Channel:0,2307374,1,Bad Fit,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
2,Port 12: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,2307382,1,OK,0.0008251,-0.7341322,0.6789397,-0.0094964,-43.596,-67.091,-140.102,0.0367178,0,Port 10: NDI-MF2 610060   CAE0-L00044  s/n:3A3BC400 Channel:0,2307382,1,Bad Fit,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
2,Port 12: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,2307390,1,OK,0.0008076,-0.7341280,0.6789442,-0.0094978,-43.598,-67.092,-140.102,0.0367335,0,Port 10: NDI-MF2 610060   CAE0-L00044  s/n:3A3BC400 Channel:0,2307390,1,Bad Fit,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
2,Port 12: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,2307398,1,OK,0.0007909,-0.7341274,0.6789452,-0.0094783,-43.603,-67.094,-140.098,0.0367067,0,Port 10: NDI-MF2 610060   CAE0-L00044  s/n:3A3BC400 Channel:0,2307398,1,Bad Fit,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
2,Port 12: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,2307406,1,OK,0.0007942,-0.7341306,0.6789419,-0.0094629,-43.604,-67.096,-140.093,0.0365014,0,Port 10: NDI-MF2 610060   CAE0-L00044  s/n:3A3BC400 Channel:0,2307406,1,Bad Fit,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
2,Port 12: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,2307414,1,OK,0.0007973,-0.7341258,0.6789471,-0.0094654,-43.604,-67.095,-140.093,0.0367124,0,Port 10: NDI-MF2 610060   CAE0-L00044  s/n:3A3BC400 Channel:0,2307414,1,Bad Fit,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
2,Port 12: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,2307422,1,OK,0.0007956,-0.7341249,0.6789480,-0.0094631,-43.604,-67.094,-140.094,0.0367307,0,Port 10: NDI-MF2 610060   CAE0-L00044  s/n:3A3BC400 Channel:0,2307422,1,Bad Fit,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
2,Port 12: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,2307430,1,OK,0.0007987,-0.7341257,0.6789473,-0.0094525,-43.602,-67.092,-140.094,0.0365745,0,Port 10: NDI-MF2 610060   CAE0-L00044  s/n:3A3BC400 Channel:0,2307430,1,Bad Fit,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
2,Port 12: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,2307438,1,OK,0.0008033,-0.7341263,0.6789466,-0.0094567,-43.600,-67.092,-140.095,0.0366180,0,Port 10: NDI-MF2 610060   CAE0-L00044  s/n:3A3BC400 Channel:0,2307438,1,Bad Fit,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
2,Port 12: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,2307446,1,OK,0.0008001,-0.7341271,0.6789458,-0.0094524,-43.600,-67.090,-140.096,0.0366635,0,Port 10: NDI-MF2 610060   CAE0-L00044  s/n:3A3BC400 Channel:0,2307446,1,Bad Fit,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
2,Port 12: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,2307454,1,OK,0.0007751,-0.7341265,0.6789466,-0.0094458,-43.599,-67.090,-140.098,0.0365228,0,Port 10: NDI-MF2 610060   CAE0-L00044  s/n:3A3BC400 Channel:0,2307454,1,Bad Fit,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
2,Port 12: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,2307462,1,OK,0.0007813,-0.7341288,0.6789438,-0.0094654,-43.596,-67.089,-140.098,0.0364267,0,Port 10: NDI-MF2 610060   CAE0-L00044  s/n:3A3BC400 Channel:0,2307462,1,Bad Fit,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
2,Port 12: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,2307470,1,OK,0.0007946,-0.7341298,0.6789423,-0.0094965,-43.592,-67.090,-140.099,0.0364975,0,Port 10: NDI-MF2 610060   CAE0-L00044  s/n:3A3BC400 Channel:0,2307470,1,Bad Fit,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
2,Port 12: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,2307478,1,OK,0.0008049,-0.7341297,0.6789419,-0.0095332,-43.587,-67.088,-140.102,0.0364604,0,Port 10: NDI-MF2 610060   CAE0-L00044  s/n:3A3BC400 Channel:0,2307478,1,Bad Fit,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
2,Port 12: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,2307486,1,OK,0.0007987,-0.7341268,0.6789447,-0.0095561,-43.586,-67.087,-140.107,0.0365069,0,Port 10: NDI-MF2 610060   CAE0-L00044  s/n:3A3BC400 Channel:0,2307486,1,Bad Fit,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
2,Port 12: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,2307494,1,OK,0.0007899,-0.7341292,0.6789420,-0.0095620,-43.585,-67.086,-140.105,0.0363745,0,Port 10: NDI-MF2 610060   CAE0-L00044  s/n:3A3BC400 Channel:0,2307494,1,Bad Fit,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
