Tools,Port 10: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610060   CAE0-L00032  s/n:3988A000 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers
2,Port 10: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,1458054,1,OK,0.0051929,-0.6861246,0.7268691,0.0294525,-112.089,56.395,-142.860,0.0299506,0,Port 11: NDI-MF2 610060   CAE0-L00032  s/n:3988A000 Channel:0,1458054,1,OK,-0.0870235,0.5925789,-0.6853538,0.4142068,-101.948,4.698,34.812,0.0914182,0
2,Port 10: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,1458062,1,OK,0.0052463,-0.6861351,0.7268608,0.0294003,-112.080,56.386,-142.861,0.0299485,0,Port 11: NDI-MF2 610060   CAE0-L00032  s/n:3988A000 Channel:0,1458062,1,OK,-0.0907583,0.5967373,-0.6842615,0.4092111,-103.034,7.214,34.789,0.0933710,0
2,Port 10: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,1458070,1,OK,0.0053301,-0.6861338,0.7268640,0.0293384,-112.074,56.382,-142.856,0.0304776,0,Port 11: NDI-MF2 610060   CAE0-L00032  s/n:3988A000 Channel:0,1458070,1,OK,-0.0935488,0.6018519,-0.6823364,0.4042770,-104.091,9.500,34.837,0.0912796,0
2,Port 10: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,1458078,1,OK,0.0054141,-0.6861246,0.7268740,0.0292914,-112.068,56.381,-142.849,0.0310154,0,Port 11: NDI-MF2 610060   CAE0-L00032  s/n:3988A000 Channel:0,1458078,1,OK,-0.0948596,0.6032883,-0.6830684,0.4005776,-104.715,11.298,34.942,0.0926656,0
2,Port 10: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,1458086,1,OK,0.0055058,-0.6861214,0.7268783,0.0292416,-112.061,56.378,-142.842,0.0313889,0,Port 11: NDI-MF2 610060   CAE0-L00032  s/n:3988A000 Channel:0,1458086,1,OK,-0.0571519,0.6490076,-0.6439171,0.4011154,-104.879,13.394,34.940,0.1522004,0
2,Port 10: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,1458094,1,OK,0.0055577,-0.6861351,0.7268666,0.0291990,-112.052,56.369,-142.840,0.0314882,0,Port 11: NDI-MF2 610060   CAE0-L00032  s/n:3988A000 Channel:0,1458094,1,OK,-0.1022291,0.5940457,-0.6948977,0.3921430,-105.530,13.869,34.787,0.1152041,0
2,Port 10: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,1458102,1,OK,0.0056126,-0.6861382,0.7268646,0.0291656,-112.046,56.365,-142.836,0.0316346,0,Port 11: NDI-MF2 610060   CAE0-L00032  s/n:3988A000 Channel:0,1458102,1,OK,-0.1020626,0.5951802,-0.6973785,0.3860143,-105.902,14.252,34.384,0.1271703,0
2,Port 10: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,1458110,1,OK,0.0056846,-0.6861256,0.7268774,0.0291284,-112.041,56.365,-142.827,0.0322080,0,Port 11: NDI-MF2 610060   CAE0-L00032  s/n:3988A000 Channel:0,1458110,1,OK,-0.1011454,0.5971042,-0.6994808,0.3794242,-106.059,14.557,34.086,0.1319902,0
2,Port 10: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,1458118,1,OK,0.0057197,-0.6861271,0.7268760,0.0291232,-112.037,56.363,-142.823,0.0322058,0,Port 11: NDI-MF2 610060   CAE0-L00032  s/n:3988A000 Channel:0,1458118,1,OK,-0.1006195,0.5999308,-0.7000498,0.3740174,-106.383,14.769,33.700,0.1349406,0
2,Port 10: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,1458126,1,OK,0.0057560,-0.6861385,0.7268656,0.0291073,-112.034,56.360,-142.822,0.0323786,0,Port 11: NDI-MF2 610060   CAE0-L00032  s/n:3988A000 Channel:0,1458126,1,OK,-0.1020230,0.5992011,-0.7036463,0.3680099,-106.868,14.866,33.108,0.1473349,0
2,Port 10: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,1458134,1,OK,0.0057759,-0.6861312,0.7268724,0.0291048,-112.031,56.358,-142.816,0.0323557,0,Port 11: NDI-MF2 610060   CAE0-L00032  s/n:3988A000 Channel:0,1458134,1,OK,-0.1021808,0.5915789,-0.7126304,0.3629758,-106.787,15.102,32.427,0.1751919,0
